KOKUGO_G1_U01	ひらがな	「あさ」の はじめの もじは？ || 「いぬ」の はじめの もじは？ || 「うみ」の はじめの もじは？ || 「えき」の はじめの もじは？ || 「おに」の はじめの もじは？
KOKUGO_G1_U12	かんたんなにっき	にっき「きょう、こうえんで ぶらんこに のりました。たのしかったです。」いつの こと？ || にっき「きょう、こうえんで ぶらんこに のりました。たのしかったです。」どこでの こと？ || にっき「きょう、こうえんで ぶらんこに のりました。たのしかったです。」なにを した？ || にっき「きょう、こうえんで ぶらんこに のりました。たのしかったです。」おもったことは？ || にっき「きょう、こうえんで ぶらんこに のりました。たのしかったです。」に あう だいは？
KOKUGO_G1_U13	おはなしをつくる	おはなし「こりすが もりに います。どんぐりを おとしたので、なかまと さがした。そして、どんぐりが みつかった。」でてくるのは？ || おはなし「こりすが もりに います。どんぐりを おとしたので、なかまと さがした。そして、どんぐりが みつかった。」ばしょは？ || おはなし「こりすが もりに います。どんぐりを おとしたので、なかまと さがした。そして、どんぐりが みつかった。」こまったことは？ || おはなし「こりすが もりに います。どんぐりを おとしたので、なかまと さがした。そして、どんぐりが みつかった。」こまった あとに したことは？ || おはなし「こりすが もりに います。どんぐりを おとしたので、なかまと さがした。そして、どんぐりが みつかった。」さいごは どうなった？
KOKUGO_G1_U14	はなしをきく	はなし「あしたは えんそくです。すいとうを もって きてください。」なんの はなし？ || はなし「あしたは えんそくです。すいとうを もって きてください。」なにを する？ || はなし「あしたは えんそくです。すいとうを もって きてください。」いつ する？ || はなし「あしたは えんそくです。すいとうを もって きてください。」たいせつな ものや ばしょは？ || はなし「あしたは えんそくです。すいとうを もって きてください。」きいた あとの へんじで よいものは？
KOKUGO_G1_U15	じぶんのことをはなす	じこしょうかい「わたしは あおいです。えを かくことが すきです。いろを えらぶのが たのしいからです。どうぶつの えが とくいです。おおきな えを かきたいです。」なまえは？ || じこしょうかい「わたしは あおいです。えを かくことが すきです。いろを えらぶのが たのしいからです。どうぶつの えが とくいです。おおきな えを かきたいです。」すきなことは？ || じこしょうかい「わたしは あおいです。えを かくことが すきです。いろを えらぶのが たのしいからです。どうぶつの えが とくいです。おおきな えを かきたいです。」すきな わけは？ || じこしょうかい「わたしは あおいです。えを かくことが すきです。いろを えらぶのが たのしいからです。どうぶつの えが とくいです。おおきな えを かきたいです。」とくいなことは？ || じこしょうかい「わたしは あおいです。えを かくことが すきです。いろを えらぶのが たのしいからです。どうぶつの えが とくいです。おおきな えを かきたいです。」これから したいことは？
KOKUGO_G1_U16	みんなのまえではなす	はっぴょう「わたしの たからものを しょうかいします。あおい ビーだまです。ひかりに あてると きらきらします。これからも たいせつに します。」だいは？ || はっぴょう「わたしの たからものを しょうかいします。あおい ビーだまです。ひかりに あてると きらきらします。これからも たいせつに します。」はじめの ことばは？ || はっぴょう「わたしの たからものを しょうかいします。あおい ビーだまです。ひかりに あてると きらきらします。これからも たいせつに します。」いちばん つたえたいことは？ || はっぴょう「わたしの たからものを しょうかいします。あおい ビーだまです。ひかりに あてると きらきらします。これからも たいせつに します。」くわしく せつめいした ところは？ || はっぴょう「わたしの たからものを しょうかいします。あおい ビーだまです。ひかりに あてると きらきらします。これからも たいせつに します。」おわりの ことばは？
KOKUGO_G2_U01	かたかなのことば	ひらがなの「ぱん」を カタカナで 書いたものは？ || 「パン」の はじめの カタカナは？ || 「ぱん」と よむ 食べものの カタカナは？ || ひらがなの「のーと」を カタカナで 書いたものは？ || 「ノート」の はじめの カタカナは？
KOKUGO_G2_U02	主語 と 述語	「小鳥が 空を とびます。」の 主語は？ || 「小鳥が 空を とびます。」の 述語は？ || 「小鳥が 空を とびます。」で、くわしく せつ明する ことばは？ || 「小鳥が 空を とびます。」の 主語と 述語の 組み合わせは？ || 「小鳥が 空を とびます。」について たずねる 文は？
KOKUGO_G2_U03	文のきまり	文の きまりに 合う 書き方は？「小鳥が 空を とびます」 || 「小鳥が 空を とびます。」の おわりに ある しるしは？ || 「小鳥は どこを とびますか？」の おわりに 合う しるしは？ || 「小鳥が 空を とびます。」を とちゅうで 読みやすく くぎる しるしは？ || 「小鳥が 空を とびます。」が 文として まとまっている わけは？
KOKUGO_G2_U04	日記を書く	日記「五月十日。学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」いつの こと？ || 日記「五月十日。学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」何を した？ || 日記「五月十日。学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」できごとを くわしくした 文は？ || 日記「五月十日。学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」思ったことは？ || 日記「五月十日。学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」に 合う だいは？
KOKUGO_G2_U05	せつめい文を読む	せつ明「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」何の せつ明？ || せつ明「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」はじめに することは？ || せつ明「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」つぎに することは？ || せつ明「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」さいごに することは？ || せつ明「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」この 手じゅんの もくてきは？
KOKUGO_G2_U06	物語を読む	物語 1中心の 人物は？ || 物語 1できごとの 場所は？ || 物語 1中心の 人物が したことは？ || 物語 1その 行動を した わけは？ || 物語 1人物の 気もちは？
KOKUGO_G2_U07	大事なことを見つける	「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」いちばん 大事な ことは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」大事な はじめの 手じゅんは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」大事な さいごの 手じゅんは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」この 文しょうの もくてきは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」を 読んだ 人が できるように なることは？
KOKUGO_G2_U08	手紙を書く	手紙「おばあちゃんへ お元気ですか。学校で ミニトマトを そだてています。赤い 実が 二つ できました。こんど 写真を 見せます。ゆいより」だれに 書いた？ || 手紙「おばあちゃんへ お元気ですか。学校で ミニトマトを そだてています。赤い 実が 二つ できました。こんど 写真を 見せます。ゆいより」はじめの あいさつは？ || 手紙「おばあちゃんへ お元気ですか。学校で ミニトマトを そだてています。赤い 実が 二つ できました。こんど 写真を 見せます。ゆいより」いちばん つたえたいことは？ || 手紙「おばあちゃんへ お元気ですか。学校で ミニトマトを そだてています。赤い 実が 二つ できました。こんど 写真を 見せます。ゆいより」おわりに つたえたことは？ || 手紙「おばあちゃんへ お元気ですか。学校で ミニトマトを そだてています。赤い 実が 二つ できました。こんど 写真を 見せます。ゆいより」だれが 書いた？
KOKUGO_G2_U09	作文を書く	作文「学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」に 合う だいは？ || 作文「学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」はじめの できごとは？ || 作文「学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」中の くわしい せつ明は？ || 作文「学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」おわりの 気もちは？ || 作文「学校の はたけに ミニトマトを うえました。土を やさしく かけました。大きく そだつと いいなと 思いました。」文の ならび方で よいものは？
KOKUGO_G2_U10	話を聞く	話 1だれの 話？ || 話 1何を した？ || 話 1どうして そうした？ || 話 1さいごの 気もちは？ || 話 1聞いた ことを たしかめる 質問は？
KOKUGO_G2_U11	順序よく話す	「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」順序よく 話すとき、はじめは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」二ばん目は？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」さいごは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」この 話の だいは？ || 「まず はちに 土を 入れます。つぎに たねを まき、うすく 土を かけます。さいごに 水を あげます。」順序を つたえるのに 役立つ ことばは？
KOKUGO_G3_U01	漢字の読み書き	「安全」の読みは？ || 「あんぜん」を漢字で書くと？ || 「左右を見て、安全に道をわたる。」で使われている三年生の漢字の言葉は？ || 「安全」に近い意味は？ || 音を聞いて、1番の漢字を選ぼう。
KOKUGO_G3_U02	国語辞典の使い方	国語辞典で「案内」を引く時、最初に見る文字は？ || 「案内」の意味は？ || 「案内」を正しく使った文は？ || 辞典で「案内」の近くをさがす時、前にありそうな言葉は？ || 「案内」を辞典で調べると、読みと意味のほかに何を確かめられる？
KOKUGO_G3_U03	段落	文章「アサガオの種をまきました。毎朝、水をやりました。一週間後、二まいの葉が出ました。」の中心となる話題は？ || 「アサガオの種」の段落で、最初の文は？ || 「アサガオの種」の段落で、二番目の内容は？ || 「アサガオの種」の段落の内容を順に並べたものは？ || 「アサガオの種」の次に別の話題を書く時は？
KOKUGO_G3_U04	物語文の読み取り	物語「元気になったホウセンカ」の中心人物は？ || 物語「元気になったホウセンカ」で、ゆうたは何をした？ || 物語「元気になったホウセンカ」で、その行動をしたわけは？ || 物語「元気になったホウセンカ」の気持ちの変化は？ || 物語「元気になったホウセンカ」に合う題名は？
KOKUGO_G3_U05	説明文の読み取り	説明「モンシロチョウは、たまご、よう虫、さなぎ、成虫の順に育ちます。体の形を大きく変えながら成長するのです。」の話題は？ || 説明「モンシロチョウは、たまご、よう虫、さなぎ、成虫の順に育ちます。体の形を大きく変えながら成長するのです。」から分かる事実は？ || 説明「モンシロチョウは、たまご、よう虫、さなぎ、成虫の順に育ちます。体の形を大きく変えながら成長するのです。」で示された理由は？ || 説明「モンシロチョウは、たまご、よう虫、さなぎ、成虫の順に育ちます。体の形を大きく変えながら成長するのです。」で、文の関係を示す言葉は？ || 説明「モンシロチョウは、たまご、よう虫、さなぎ、成虫の順に育ちます。体の形を大きく変えながら成長するのです。」を一文でまとめると？
KOKUGO_G3_U06	要点をまとめる	文章「学校の池にはメダカがいます。春になると水草へ卵を産みます。卵からかえった子メダカは小さな生き物を食べて育ちます。」の要点は？ || 文章「学校の池にはメダカがいます。春になると水草へ卵を産みます。卵からかえった子メダカは小さな生き物を食べて育ちます。」の中心話題は？ || 文章「学校の池にはメダカがいます。春になると水草へ卵を産みます。卵からかえった子メダカは小さな生き物を食べて育ちます。」で、要点を支える大事な事実は？ || 「メダカは春に卵を産み、子メダカが育つ。」は何をして作った文？ || 文章「学校の池にはメダカがいます。春になると水草へ卵を産みます。卵からかえった子メダカは小さな生き物を食べて育ちます。」を要約する時、なくしても中心が変わりにくい言葉は？
KOKUGO_G3_U07	日記・作文	作文「今週、初めて図書係の仕事をしました。図書係で本をならべた。背表紙の番号を見て順番を直した。本が見つけやすくなってうれしかった。次はおすすめの本もしょうかいしたいです。」に合う題名は？ || 作文「今週、初めて図書係の仕事をしました。図書係で本をならべた。背表紙の番号を見て順番を直した。本が見つけやすくなってうれしかった。次はおすすめの本もしょうかいしたいです。」の書き出しは？ || 作文「今週、初めて図書係の仕事をしました。図書係で本をならべた。背表紙の番号を見て順番を直した。本が見つけやすくなってうれしかった。次はおすすめの本もしょうかいしたいです。」の中心の出来事は？ || 作文「今週、初めて図書係の仕事をしました。図書係で本をならべた。背表紙の番号を見て順番を直した。本が見つけやすくなってうれしかった。次はおすすめの本もしょうかいしたいです。」で、出来事をくわしくする文は？ || 作文「今週、初めて図書係の仕事をしました。図書係で本をならべた。背表紙の番号を見て順番を直した。本が見つけやすくなってうれしかった。次はおすすめの本もしょうかいしたいです。」の終わりに書かれた今後の考えは？
KOKUGO_G3_U08	手紙の書き方	手紙「農家の佐藤さんへ 野菜を朝早く収穫すると教えてくださり、ありがとうございました。新鮮なまま店へ運ぶ工夫が分かりました。これから野菜を大切に食べます。 三年一組より」の相手は？ || 手紙「農家の佐藤さんへ 野菜を朝早く収穫すると教えてくださり、ありがとうございました。新鮮なまま店へ運ぶ工夫が分かりました。これから野菜を大切に食べます。 三年一組より」を書いた目的は？ || 手紙「農家の佐藤さんへ 野菜を朝早く収穫すると教えてくださり、ありがとうございました。新鮮なまま店へ運ぶ工夫が分かりました。これから野菜を大切に食べます。 三年一組より」の中心となる用件は？ || 手紙「農家の佐藤さんへ 野菜を朝早く収穫すると教えてくださり、ありがとうございました。新鮮なまま店へ運ぶ工夫が分かりました。これから野菜を大切に食べます。 三年一組より」で、用件をくわしくする文は？ || 手紙「農家の佐藤さんへ 野菜を朝早く収穫すると教えてくださり、ありがとうございました。新鮮なまま店へ運ぶ工夫が分かりました。これから野菜を大切に食べます。 三年一組より」の終わりの言葉は？
KOKUGO_G3_U09	話し合い	話し合い「学級文庫に入れる本」で出された意見は？ || 「物語と科学の本を半分ずつ選ぶ」という意見の理由は？ || 「学級文庫に入れる本」の話し合いで、確かめる質問は？ || 質問「希望が多い本をどう決めますか」への建設的な答えは？ || 「学級文庫に入れる本」の話し合いを進めるために大切なことは？
KOKUGO_G4_U01	漢字の使い方	「駅で友達に会う。」の使い方に合う漢字は？ || 「会う・合う」を使い分ける説明は？ || 音を聞いて「駅で友達に会う。」に合う漢字を選ぼう。 || 「会う・合う」のように同じ読みの漢字を使い分ける理由は？ || 「前の席が空く。」の使い方に合う漢字は？
KOKUGO_G4_U02	熟語	熟語「登山」の意味は？ || 「登山」を漢字の意味に分けると？ || 「登山」の組み立ては？ || 「登山」を正しく使った文は？ || 「登山」の意味を知らない時、まずできることは？
KOKUGO_G4_U03	国語辞典・漢字辞典	「協力」の意味を調べるのに向くものは？ || 「協力」の意味を調べる方法は？ || 「協力」の意味について辞典から分かることは？ || 「協力」の意味をさらに理解するために何をする？ || 「協力」の意味を調べた後に大切なことは？
KOKUGO_G4_U04	段落と要旨	文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」の話題は？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」で要旨を支える事実は？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」の要旨は？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」に合う題名は？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」の要旨をまとめる時、省いてよい情報は？
KOKUGO_G4_U05	物語文の読み取り	物語1の中心人物は？ || 物語1で中心人物がしたことは？ || 物語1で、その行動をした理由は？ || 物語1の気持ちの変化は？ || 物語1から考えられる中心的な意味は？
KOKUGO_G4_U06	説明文の読み取り	説明「紙は木材などのせんいから作られます。古紙を回収して再利用すれば、新しく使う木材やごみを減らせます。」の話題は？ || 説明「紙は木材などのせんいから作られます。古紙を回収して再利用すれば、新しく使う木材やごみを減らせます。」で示された事実は？ || 説明「紙は木材などのせんいから作られます。古紙を回収して再利用すれば、新しく使う木材やごみを減らせます。」で示された理由は？ || 説明「紙は木材などのせんいから作られます。古紙を回収して再利用すれば、新しく使う木材やごみを減らせます。」で考えを分かりやすくする例は？ || 説明「紙は木材などのせんいから作られます。古紙を回収して再利用すれば、新しく使う木材やごみを減らせます。」で筆者が伝えたい考えは？
KOKUGO_G4_U07	要約	文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」を要約する時の中心話題は？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」で残すべき重要な事実は？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」の要約として最もよいものは？ || 文章「町の川では、地域の人が毎月ごみを拾っています。活動を続けた結果、水辺で見られる鳥が増えました。」を要約する時、省いてよい情報は？ || 「清掃の継続で水辺の環境がよくなった」のような要約を作る時に大切なことは？
KOKUGO_G4_U08	意見文を書く	テーマ「学校に読書時間を増やす」についての意見は？ || 意見「朝に十分間の読書時間を設けたい」の理由は？ || 意見「朝に十分間の読書時間を設けたい」を支える具体例は？ || 意見「朝に十分間の読書時間を設けたい」に対して考えられる反対意見は？ || 反対意見「朝の準備時間が短くなる」への答えは？
KOKUGO_G4_U09	話し合いと発表	発表「町たんけんの発表」の始めの言葉は？ || 発表「町たんけんの発表」の中心は？ || 発表「町たんけんの発表」で中心を支える事実は？ || 発表「町たんけんの発表」に合う資料は？ || 発表「町たんけんの発表」の後に、内容を深める質問は？
KOKUGO_G5_U01	漢字の意味と使い分け	「川の深さを測る。」に合う漢字は？ || 「測る・計る」の使い分けは？ || 音を聞いて「川の深さを測る。」に合う漢字を選ぼう。 || 「測る・計る」のような同音語を辞典で確かめる時に大切なことは？ || 「収める・納める」の使い分けは？
KOKUGO_G5_U02	敬語	「先生が来る」を相手の動作を高める敬語にすると？ || 「私が先生の所へうかがう」はどの種類の敬語？ || 「先生が来る」を「です・ます」を使う丁寧語にすると？ || 「先生が来る」の敬語を選ぶ時に最初に確認することは？ || 「先生が見る」を相手の動作を高める敬語にすると？
KOKUGO_G5_U03	物語文の読み取り	物語1の中心人物は？ || 物語1で中心人物がしたことは？ || 物語1で、その行動をした理由は？ || 物語1の心情変化は？ || 物語1の主題として最も近いものは？
KOKUGO_G5_U04	説明文の読み取り	説明「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」の話題は？ || 説明「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」の筆者の主張は？ || 主張「計画的な購入と活用で食品ロスを減らせる」を支える事実は？ || 説明「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」で示された理由は？ || 説明「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」で使われた具体例は？
KOKUGO_G5_U05	要約と要旨	文章「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」の要旨は？ || 文章「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」を要約する時に残す事実は？ || 文章「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」の話題は？ || 要旨「計画的な購入と活用で食品ロスを減らせる」と事例「残り野菜をスープに使う」の関係は？ || 文章「食品ロスとは、まだ食べられるのに捨てられる食品です。家庭では買う量を決め、期限を確認し、残り物を活用することで減らせます。」の要約として大切な条件は？
KOKUGO_G5_U06	意見文を書く	テーマ「学校へ給水機を置く」についての意見は？ || 意見「水筒へ補給できる給水機を設置したい」の理由は？ || 意見「水筒へ補給できる給水機を設置したい」を支える根拠は？ || 意見「水筒へ補給できる給水機を設置したい」への反対意見は？ || 反対意見「設置と清掃に費用がかかる」への応答は？
KOKUGO_G5_U07	報告文を書く	報告「校内の水使用量」の調査目的は？ || 報告「校内の水使用量」の調査方法は？ || 報告「校内の水使用量」で得られた結果は？ || 報告「校内の水使用量」の考察・結論は？ || 報告「校内の水使用量」に合う資料は？
KOKUGO_G5_U08	討論	討論「学校へ給水機を置く」の提案は？ || 提案「水筒へ補給できる給水機を設置したい」の理由は？ || 提案「水筒へ補給できる給水機を設置したい」の根拠は？ || 提案「水筒へ補給できる給水機を設置したい」に対する反対意見は？ || 反対意見「設置と清掃に費用がかかる」をふまえた改善案は？
KOKUGO_G5_U09	スピーチ	スピーチ「心に残った本」の導入は？ || スピーチ「心に残った本」の中心は？ || 中心「失敗後に助けを求める主人公が印象に残った」の理由は？ || スピーチ「心に残った本」で使う具体例は？ || スピーチ「心に残った本」の結びと話し方の工夫は？
KOKUGO_G6_U01	漢字のまとめ	「責任」を使う文として正しいものは？ || 「責任」の読みは？ || 「責任」の意味は？ || 「責任」と意味が近い語は？ || 「責任」を文章で使う時に大切なことは？
KOKUGO_G6_U02	熟語と語句	四字熟語「試行錯誤」の意味は？ || 「試行錯誤」に合う場面は？ || 「試行錯誤」と反対に近い場面は？ || 「試行錯誤」を正しく使った文は？ || 「試行錯誤」を使う効果は？
KOKUGO_G6_U03	物語文の読み取り	物語1の中心人物は？ || 物語1の転機は？ || 物語1の人物の変化は？ || 物語1で象徴的に使われた物は？ || 物語1の主題は？
KOKUGO_G6_U04	説明文の読み取り	説明「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」の話題は？ || 説明「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」の筆者の考えは？ || 主張「情報は出典と日時を確認してから共有すべきだ」を支える事実は？ || 説明「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」で示された理由は？ || 説明「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」の文章構成は？
KOKUGO_G6_U05	要旨と要約	文章「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」の要旨は？ || 文章「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」の要約で残す事実は？ || 要旨「情報は出典と日時を確認してから共有すべきだ」を支える論理は？ || 文章「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」の要約で文章構成をどう生かす？ || 文章「情報は速さだけでなく正確さが必要です。災害時の未確認情報は避難を混乱させることがあります。発信元と日時を確かめ、公的情報と照合してから共有すべきです。」を要約する時の条件は？
KOKUGO_G6_U06	意見文を書く	意見文「校内スマートフォン規則」が扱う問題は？ || 問題「目的外利用や撮影によるトラブルがある」への主張は？ || 主張「学習目的と緊急連絡に用途を限定する」の理由は？ || 主張「学習目的と緊急連絡に用途を限定する」の根拠は？ || 反対意見「用途の判定が難しい」への応答は？
KOKUGO_G6_U07	提案文を書く	提案「校内スマートフォン規則」で解決したい課題は？ || 課題「目的外利用や撮影によるトラブルがある」への具体的な提案は？ || 提案「学習目的と緊急連絡に用途を限定する」で期待する効果は？ || 提案「学習目的と緊急連絡に用途を限定する」の必要性を示す根拠は？ || 提案「学習目的と緊急連絡に用途を限定する」を実行しやすくする改善は？
KOKUGO_G6_U08	討論	討論「校内スマートフォン規則」の賛成側の主張は？ || 討論「校内スマートフォン規則」で賛成側が示した事実上の根拠は？ || 主張「学習目的と緊急連絡に用途を限定する」への反対意見は？ || 反対意見「用途の判定が難しい」を受けた改善案は？ || 討論「校内スマートフォン規則」で最終判断に必要なことは？
KOKUGO_G6_U09	スピーチ	スピーチ「六年間で学んだ協力」の導入は？ || スピーチ「六年間で学んだ協力」の中心は？ || 中心「協力は仕事を分けるだけでなく互いの考えを生かすこと」を支える経験は？ || 経験「委員会で全員の得意を聞いて役割を変えた」から得た学びは？ || スピーチ「六年間で学んだ協力」の結びは？
KOKUGO_G6_U10	卒業文集	卒業文集「委員会活動で役割分担を見直した」に合う題名は？ || 卒業文集「任せることも責任」の中心となる経験は？ || 経験「委員会活動で役割分担を見直した」を具体的にする内容は？ || 経験「委員会活動で役割分担を見直した」による考えの変化は？ || 卒業文集「任せることも責任」の結びに合う将来の目標は？
