mode	grade	subject	title	priority	problemCount	visualProblemCount	currentKinds	recommendedKinds	rendererFamilies	needsNewVisual	needsDisplayUpgrade	reason
ENGLISH_G6_U02	6	ENGLISH	将来の夢	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U03	6	ENGLISH	日常生活	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U04	6	ENGLISH	日本文化紹介	C	56	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U05	6	ENGLISH	行きたい国	C	72	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U06	6	ENGLISH	思い出	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U07	6	ENGLISH	過去の出来事	C	80	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U08	6	ENGLISH	好きなもの	C	56	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U09	6	ENGLISH	世界の文化	C	80	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U10	6	ENGLISH	将来の計画	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G6_U11	6	ENGLISH	リスニング総仕上げ	C	166	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G6_U12	6	ENGLISH	発声総仕上げ	C	166	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G6_U13	6	ENGLISH	復唱問題総仕上げ	C	249	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G6_U14	6	ENGLISH	応答問題総仕上げ	C	18	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G7_U01	7	ENGLISH	アルファベット	B	36	0		letter_grid,letter_case_pair	english-support			大文字小文字・並び順を扱う問題に有効。
ENGLISH_G7_U02	7	ENGLISH	be動詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U03	7	ENGLISH	一般動詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U04	7	ENGLISH	疑問文	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U05	7	ENGLISH	否定文	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U06	7	ENGLISH	命令文	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U07	7	ENGLISH	can	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U08	7	ENGLISH	現在進行形	A	36	1	tense_timeline	sentence_blocks,tense_timeline	flow-diagram,language-structure		YES	語順に加えて時間軸を示すことが文法理解に有効。
ENGLISH_G7_U09	7	ENGLISH	三人称単数	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U10	7	ENGLISH	前置詞	A	36	1	spatial_preposition	spatial_preposition	english-support		YES	in/on/under等の位置関係は図を見る問題と相性がよい。
ENGLISH_G7_U11	7	ENGLISH	複数形	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U12	7	ENGLISH	代名詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G7_U13	7	ENGLISH	リスニング総仕上げ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G7_U14	7	ENGLISH	発声総仕上げ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G7_U15	7	ENGLISH	復唱問題総仕上げ	C	54	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G7_U16	7	ENGLISH	応答問題総仕上げ	C	30	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G8_U01	8	ENGLISH	過去形	A	36	1	tense_timeline	sentence_blocks,tense_timeline	flow-diagram,language-structure		YES	語順に加えて時間軸を示すことが文法理解に有効。
ENGLISH_G8_U02	8	ENGLISH	過去進行形	A	36	1	tense_timeline	sentence_blocks,tense_timeline	flow-diagram,language-structure		YES	語順に加えて時間軸を示すことが文法理解に有効。
ENGLISH_G8_U03	8	ENGLISH	未来表現	A	36	1	tense_timeline	sentence_blocks,tense_timeline	flow-diagram,language-structure		YES	語順に加えて時間軸を示すことが文法理解に有効。
ENGLISH_G8_U04	8	ENGLISH	助動詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G8_U05	8	ENGLISH	不定詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G8_U06	8	ENGLISH	動名詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G8_U07	8	ENGLISH	接続詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G8_U08	8	ENGLISH	比較	A	36	1	comparison_scale	comparison_scale,sentence_blocks	english-support,language-structure		YES	2者・3者の比較関係を視覚的に整理できる。
ENGLISH_G8_U09	8	ENGLISH	受動態	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G8_U10	8	ENGLISH	リスニング総仕上げ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G8_U11	8	ENGLISH	発声総仕上げ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G8_U12	8	ENGLISH	復唱問題総仕上げ	C	54	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G8_U13	8	ENGLISH	応答問題総仕上げ	C	30	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U01	9	ENGLISH	現在完了	A	36	1	tense_timeline	sentence_blocks,tense_timeline	flow-diagram,language-structure		YES	語順に加えて時間軸を示すことが文法理解に有効。
ENGLISH_G9_U02	9	ENGLISH	現在完了進行形	A	36	1	tense_timeline	sentence_blocks,tense_timeline	flow-diagram,language-structure		YES	語順に加えて時間軸を示すことが文法理解に有効。
ENGLISH_G9_U03	9	ENGLISH	関係代名詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G9_U04	9	ENGLISH	間接疑問文	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G9_U05	9	ENGLISH	仮定法	A	36	1	condition_branch	condition_branch,tense_timeline	english-support,flow-diagram		YES	現実と仮定の分岐を図で示すと理解しやすい。
ENGLISH_G9_U06	9	ENGLISH	分詞	A	36	1	sentence_blocks	sentence_blocks	language-structure		YES	語順や文の役割をブロックで動かして示すと理解しやすい。
ENGLISH_G9_U07	9	ENGLISH	比較の応用	A	36	1	comparison_scale	comparison_scale,sentence_blocks	english-support,language-structure		YES	2者・3者の比較関係を視覚的に整理できる。
ENGLISH_G9_U08	9	ENGLISH	長文読解	C	40	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U09	9	ENGLISH	英作文	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U10	9	ENGLISH	スピーチ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U11	9	ENGLISH	リスニング総仕上げ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U12	9	ENGLISH	発声総仕上げ	C	36	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U13	9	ENGLISH	復唱問題総仕上げ	C	54	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G9_U14	9	ENGLISH	応答問題総仕上げ	C	30	0						音声・発話・本文を主役にし、動的visualは原則使わない。
KOKUGO_G1_U01	1	KOKUGO	ひらがな	C	83	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U02	1	KOKUGO	ことばあつめ	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U03	1	KOKUGO	のばすおん	B	50	0		sound_blocks,word_blocks	language-structure			音や助詞の位置をブロックで示す問題に有効。
KOKUGO_G1_U04	1	KOKUGO	ちいさい「っ」	B	50	0		sound_blocks,word_blocks	language-structure			音や助詞の位置をブロックで示す問題に有効。
KOKUGO_G1_U05	1	KOKUGO	は・を・へ	B	50	0		sound_blocks,word_blocks	language-structure			音や助詞の位置をブロックで示す問題に有効。
KOKUGO_G1_U06	1	KOKUGO	かたかな	C	83	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U07	1	KOKUGO	おはなしをよむ	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G1_U08	1	KOKUGO	せつめいぶんをよむ	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U09	1	KOKUGO	ばめんをそうぞうしてよむ	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G1_U10	1	KOKUGO	たいせつなところをみつけてよむ	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U11	1	KOKUGO	ぶんをかく	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U12	1	KOKUGO	かんたんなにっき	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U13	1	KOKUGO	おはなしをつくる	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G1_U14	1	KOKUGO	はなしをきく	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U15	1	KOKUGO	じぶんのことをはなす	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G1_U16	1	KOKUGO	みんなのまえではなす	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G2_U01	2	KOKUGO	かたかなのことば	C	66	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G2_U02	2	KOKUGO	主語と述語	A	50	1	sentence_structure	sentence_structure	language-structure		YES	文の要素を色分け・ブロック化して関係を示す価値が高い。
KOKUGO_G2_U03	2	KOKUGO	文のきまり	A	50	1	sentence_structure	sentence_structure	language-structure		YES	文の要素を色分け・ブロック化して関係を示す価値が高い。
KOKUGO_G2_U04	2	KOKUGO	日記を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G2_U05	2	KOKUGO	せつめい文を読む	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G2_U06	2	KOKUGO	物語を読む	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G2_U07	2	KOKUGO	大事なことを見つける	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G2_U08	2	KOKUGO	手紙を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G2_U09	2	KOKUGO	作文を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G2_U10	2	KOKUGO	話を聞く	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G2_U11	2	KOKUGO	順序よく話す	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G3_U01	3	KOKUGO	漢字の読み書き	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G3_U02	3	KOKUGO	国語じてんの使いかた	B	50	0		dictionary_order	language-structure			見出し語の順序や辞書の構成を扱う問題で有効。
KOKUGO_G3_U03	3	KOKUGO	まとまり	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G3_U04	3	KOKUGO	物語文の読みとり	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G3_U05	3	KOKUGO	せつめい文の読みとり	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G3_U06	3	KOKUGO	大事なところをまとめる	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G3_U07	3	KOKUGO	日記・作文	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G3_U08	3	KOKUGO	手紙の書きかた	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G3_U09	3	KOKUGO	話し合い	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G4_U01	4	KOKUGO	漢字の使い方	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G4_U02	4	KOKUGO	熟語	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G4_U03	4	KOKUGO	国語辞典・漢字辞典	B	50	0		dictionary_order	language-structure			見出し語の順序や辞書の構成を扱う問題で有効。
KOKUGO_G4_U04	4	KOKUGO	段落と要旨	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G4_U05	4	KOKUGO	物語文の読み取り	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G4_U06	4	KOKUGO	説明文の読み取り	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G4_U07	4	KOKUGO	要約	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G4_U08	4	KOKUGO	意見文を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G4_U09	4	KOKUGO	話し合いと発表	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G5_U01	5	KOKUGO	漢字の意味と使い分け	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G5_U02	5	KOKUGO	敬語	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G5_U03	5	KOKUGO	物語文の読み取り	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G5_U04	5	KOKUGO	説明文の読み取り	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G5_U05	5	KOKUGO	要約と要旨	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G5_U06	5	KOKUGO	意見文を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G5_U07	5	KOKUGO	報告文を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G5_U08	5	KOKUGO	討論	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G5_U09	5	KOKUGO	スピーチ	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G6_U01	6	KOKUGO	漢字のまとめ	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G6_U02	6	KOKUGO	熟語と語句	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G6_U03	6	KOKUGO	物語文の読み取り	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G6_U04	6	KOKUGO	説明文の読み取り	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G6_U05	6	KOKUGO	要旨と要約	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G6_U06	6	KOKUGO	意見文を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G6_U07	6	KOKUGO	提案文を書く	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G6_U08	6	KOKUGO	討論	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G6_U09	6	KOKUGO	スピーチ	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G6_U10	6	KOKUGO	卒業文集	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G7_U01	7	KOKUGO	物語文の読み取り	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G7_U02	7	KOKUGO	説明文の読み取り	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G7_U03	7	KOKUGO	詩の読み取り	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G7_U04	7	KOKUGO	古典（古文の基礎）	B	50	0		reading_order,classical_sentence_map	language-structure			返り点・語順・現代語との対応を扱う問題で使える。
KOKUGO_G7_U05	7	KOKUGO	漢文の基礎	B	50	0		reading_order,classical_sentence_map	language-structure			返り点・語順・現代語との対応を扱う問題で使える。
KOKUGO_G7_U06	7	KOKUGO	文の成分	A	50	1	sentence_structure	sentence_structure	language-structure		YES	文の要素を色分け・ブロック化して関係を示す価値が高い。
KOKUGO_G7_U07	7	KOKUGO	品詞	A	50	1	word_class_blocks	word_class_blocks,sentence_structure	language-structure		YES	語の役割を分類し、文中の位置と対応させられる。
KOKUGO_G7_U08	7	KOKUGO	漢字の読み書き	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G7_U09	7	KOKUGO	要約	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G7_U10	7	KOKUGO	意見文	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
KOKUGO_G7_U11	7	KOKUGO	スピーチ	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G7_U12	7	KOKUGO	話し合い	B	50	0		argument_map,speech_structure	language-structure			意見と理由、発表構成を整理する問題に有効。
KOKUGO_G8_U01	8	KOKUGO	物語文の読み取り	B	50	0		story_timeline,character_relation	language-structure			場面の順序や人物関係を問う問題に限定して有効。
KOKUGO_G8_U02	8	KOKUGO	説明文の読み取り	B	50	0		paragraph_structure,cause_effect_flow	flow-diagram,language-structure			文章構造や因果関係を問う問題で有効。
KOKUGO_G8_U03	8	KOKUGO	詩・短歌・俳句	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G8_U04	8	KOKUGO	古文	B	50	0		reading_order,classical_sentence_map	language-structure			返り点・語順・現代語との対応を扱う問題で使える。
KOKUGO_G8_U05	8	KOKUGO	漢文	B	50	0		reading_order,classical_sentence_map	language-structure			返り点・語順・現代語との対応を扱う問題で使える。
KOKUGO_G8_U06	8	KOKUGO	文法	A	50	1	word_class_blocks	sentence_structure	language-structure		YES	文の要素を色分け・ブロック化して関係を示す価値が高い。
KOKUGO_G8_U07	8	KOKUGO	漢字の読み書き	C	50	0						文字・文章そのものを読むことを優先し、図が答えの手掛かりになり過ぎないようにする。
KOKUGO_G8_U08	8	KOKUGO	要約	A	50	1	paragraph_structure	paragraph_structure,idea_hierarchy	language-structure		YES	段落関係・中心文・要旨の構造を可視化できる。
KOKUGO_G8_U09	8	KOKUGO	意見文	B	50	0		writing_structure	language-structure			文章の組み立てを作る問題で構成図が使える。
