mode	unit	index	question	answer	options	unitLabel	passageTitle
MATH_G1_U04	なんばんめ	5	まる、さんかく、しかく、ほし。2ばんめは？	さんかく	さんかく | まる | しかく | ほし		
MATH_G1_U04	なんばんめ	6	まる、さんかく、しかく、ほし。4ばんめは？	ほし	ほし | しかく | さんかく | まる		
MATH_G1_U04	なんばんめ	7	あ、い、う、え、お。3ばんめは？	う	う | い | え | お		
MATH_G1_U04	なんばんめ	8	あ、い、う、え、お。5ばんめは？	お	お | え | う | あ		
MATH_G1_U04	なんばんめ	9	1、2、3、4。1ばんめの かずは？	1	1 | 2 | 3 | 4		
MATH_G1_U04	なんばんめ	10	1、2、3、4。さいごの かずは？	4	4 | 3 | 2 | 1		
MATH_G1_U04	なんばんめ	11	あか、あお、あか、あお。2ばんめの いろは？	あお	あお | あか | きいろ | みどり		
MATH_G1_U04	なんばんめ	12	くるま、ばす、でんしゃ、ひこうき。でんしゃは なんばんめ？	3ばんめ	3ばんめ | 2ばんめ | 4ばんめ | 1ばんめ		
MATH_G1_U04	なんばんめ	13	さくら、うめ、もも。うめは なんばんめ？	2ばんめ	2ばんめ | 1ばんめ | 3ばんめ | 4ばんめ		
MATH_G1_U04	なんばんめ	14	いすが 5こ ならんでいます。まえから 5ばんめは どこ？	いちばん うしろ	いちばん うしろ | いちばん まえ | まんなか | 2ばんめ		
MATH_G1_U04	なんばんめ	15	4にん ならんでいます。まえから 1ばんめは どこ？	いちばん まえ	いちばん まえ | いちばん うしろ | 3ばんめ | 4ばんめ		
MATH_G1_U04	なんばんめ	16	あか、しろ、くろ。くろは なんばんめ？	3ばんめ	3ばんめ | 2ばんめ | 1ばんめ | 4ばんめ		
MATH_G1_U04	なんばんめ	17	はと、からす、すずめ、つばめ。からすは なんばんめ？	2ばんめ	2ばんめ | 1ばんめ | 3ばんめ | 4ばんめ		
MATH_G1_U04	なんばんめ	18	1、3、5、7。5は なんばんめ？	3ばんめ	3ばんめ | 2ばんめ | 4ばんめ | 5ばんめ		
MATH_G1_U04	なんばんめ	19	なんばんめを きく ときに たいせつなのは？	どこから かぞえるか	どこから かぞえるか | いろだけ | おおきさだけ | おとだけ		
MATH_G1_U04	なんばんめ	20	5、4、3、2、1。 1ばんめの かずは？	5	5 | 4 | 1 | 6		
MATH_G1_U04	なんばんめ	21	5、4、3、2、1。 2ばんめの かずは？	4	4 | 5 | 3 | 2		
MATH_G1_U04	なんばんめ	22	5、4、3、2、1。 3ばんめの かずは？	3	3 | 4 | 2 | 5		
MATH_G1_U04	なんばんめ	23	5、4、3、2、1。 4ばんめの かずは？	2	2 | 3 | 1 | 4		
MATH_G1_U04	なんばんめ	24	5、4、3、2、1。 5ばんめの かずは？	1	1 | 2 | 5 | 3		
MATH_G1_U04	なんばんめ	25	2、4、6、8、10。 1ばんめの かずは？	2	2 | 4 | 1 | 3		
MATH_G1_U04	なんばんめ	26	2、4、6、8、10。 2ばんめの かずは？	4	4 | 2 | 6 | 5		
MATH_G1_U04	なんばんめ	27	2、4、6、8、10。 3ばんめの かずは？	6	6 | 4 | 8 | 3		
MATH_G1_U04	なんばんめ	28	2、4、6、8、10。 4ばんめの かずは？	8	8 | 6 | 10 | 4		
MATH_G1_U04	なんばんめ	29	2、4、6、8、10。 5ばんめの かずは？	10	10 | 8 | 5 | 11		
MATH_G1_U04	なんばんめ	30	1、2、3、4、5。 1ばんめの かずは？	1	1 | 2 | 3 | 0		
MATH_G1_U04	なんばんめ	31	1、2、3、4、5。 2ばんめの かずは？	2	2 | 1 | 3 | 4		
MATH_G1_U04	なんばんめ	32	1、2、3、4、5。 3ばんめの かずは？	3	3 | 2 | 4 | 5		
MATH_G1_U04	なんばんめ	33	1、2、3、4、5。 4ばんめの かずは？	4	4 | 3 | 5 | 6		
MATH_G1_U04	なんばんめ	34	1、2、3、4、5。 5ばんめの かずは？	5	5 | 4 | 6 | 7		
MATH_G1_U05	あわせていくつ（たしざん）	0	りんごが 2こ、みかんが 3こ。あわせて いくつ？	5こ	5こ | 4こ | 6こ | 3こ		
MATH_G1_U05	あわせていくつ（たしざん）	1	あかい まるが 1こ、あおい まるが 4こ。あわせて いくつ？	5こ	5こ | 4こ | 6こ | 1こ		
MATH_G1_U05	あわせていくつ（たしざん）	2	えんぴつが 3ぼん、ぺんが 2ほん。あわせて なんぼん？	5ほん	5ほん | 4ほん | 6ほん | 3ぼん		
MATH_G1_U05	あわせていくつ（たしざん）	3	あめが 4こ、ぐみが 1こ。あわせて いくつ？	5こ	5こ | 4こ | 6こ | 1こ		
MATH_G1_U05	あわせていくつ（たしざん）	4	はなが 2ほん、はっぱが 2まい。あわせて いくつ？	4つ	4つ | 2つ | 3つ | 5つ		
MATH_G1_U05	あわせていくつ（たしざん）	5	ぼーるが 5こ、ぼーるが 1こ。あわせて いくつ？	6こ	6こ | 5こ | 4こ | 7こ		
MATH_G1_U05	あわせていくつ（たしざん）	6	しろい いしが 3こ、くろい いしが 3こ。あわせて いくつ？	6こ	6こ | 5こ | 3こ | 7こ		
MATH_G1_U05	あわせていくつ（たしざん）	7	ねこが 1ぴき、いぬが 2ひき。あわせて なんびき？	3びき	3びき | 2ひき | 1ぴき | 4ひき		
MATH_G1_U05	あわせていくつ（たしざん）	8	まるが 6こ、さんかくが 2こ。あわせて いくつ？	8こ	8こ | 6こ | 7こ | 9こ		
MATH_G1_U05	あわせていくつ（たしざん）	9	あかが 5こ、あおが 5こ。あわせて いくつ？	10こ	10こ | 9こ | 5こ | 8こ		
MATH_G1_U05	あわせていくつ（たしざん）	10	きのこが 2こ、どんぐりが 6こ。あわせて いくつ？	8こ	8こ | 7こ | 6こ | 9こ		
MATH_G1_U05	あわせていくつ（たしざん）	11	おはじきが 4こ、びーだまが 4こ。あわせて いくつ？	8こ	8こ | 7こ | 4こ | 9こ		
MATH_G1_U05	あわせていくつ（たしざん）	12	くるまが 3だい、ばすが 1だい。あわせて なんだい？	4だい	4だい | 3だい | 5だい | 2だい		
MATH_G1_U05	あわせていくつ（たしざん）	13	さらが 2まい、こっぷが 5こ。あわせて いくつ？	7つ	7つ | 6つ | 5つ | 8つ		
MATH_G1_U05	あわせていくつ（たしざん）	14	つみきが 1こ、つみきが 8こ。あわせて いくつ？	9こ	9こ | 8こ | 10こ | 7こ		
MATH_G1_U05	あわせていくつ（たしざん）	15	かえるが 4ひき、かめが 2ひき。あわせて なんびき？	6ぴき	6ぴき | 5ひき | 4ひき | 7ひき		
MATH_G1_U05	あわせていくつ（たしざん）	16	みどりの まるが 7こ、きいろの まるが 1こ。あわせて いくつ？	8こ	8こ | 7こ | 9こ | 6こ		
MATH_G1_U05	あわせていくつ（たしざん）	17	みかんが 3こ、りんごが 4こ。あわせて いくつ？	7こ	7こ | 6こ | 8こ | 4こ		
MATH_G1_U05	あわせていくつ（たしざん）	18	どんぐりが 2こ、まつぼっくりが 7こ。あわせて いくつ？	9こ	9こ | 8こ | 7こ | 10こ		
MATH_G1_U05	あわせていくつ（たしざん）	19	あわせて いくつを きく とき、することは？	ぜんぶ かぞえる	ぜんぶ かぞえる | すくない ほうだけ みる | いろだけ みる | さいごを けす		
MATH_G1_U05	あわせていくつ（たしざん）	20	3 + 7 = ?	10	10 | 11 | 9 | 3		
MATH_G1_U05	あわせていくつ（たしざん）	21	4 と 4 を あわせると？	8	8 | 9 | 7 | 4		
MATH_G1_U05	あわせていくつ（たしざん）	22	5 + 3 = ?	8	8 | 9 | 7 | 5		
MATH_G1_U05	あわせていくつ（たしざん）	23	6 と 4 を あわせると？	10	10 | 11 | 9 | 4		
MATH_G1_U05	あわせていくつ（たしざん）	24	1 + 7 = ?	8	8 | 9 | 7 | 1		
MATH_G1_U05	あわせていくつ（たしざん）	25	2 と 2 を あわせると？	4	4 | 5 | 3 | 2		
MATH_G1_U05	あわせていくつ（たしざん）	26	3 + 6 = ?	9	9 | 10 | 8 | 3		
MATH_G1_U05	あわせていくつ（たしざん）	27	5 + 4 = ?	9	9 | 10 | 8 | 5		
MATH_G1_U05	あわせていくつ（たしざん）	28	6 と 2 を あわせると？	8	8 | 9 | 7 | 2		
MATH_G1_U05	あわせていくつ（たしざん）	29	1 + 4 = ?	5	5 | 6 | 4 | 1		
MATH_G1_U05	あわせていくつ（たしざん）	30	2 と 8 を あわせると？	10	10 | 11 | 9 | 8		
MATH_G1_U05	あわせていくつ（たしざん）	31	3 + 5 = ?	8	8 | 9 | 7 | 3		
MATH_G1_U05	あわせていくつ（たしざん）	32	5 + 5 = ?	10	10 | 11 | 9 | 5		
MATH_G1_U05	あわせていくつ（たしざん）	33	1 + 1 = ?	2	2 | 3 | 1 | 4		
MATH_G1_U05	あわせていくつ（たしざん）	34	2 と 6 を あわせると？	8	8 | 9 | 7 | 6		
MATH_G1_U05	あわせていくつ（たしざん）	35	3 + 4 = ?	7	7 | 8 | 6 | 3		
MATH_G1_U05	あわせていくつ（たしざん）	36	5 + 1 = ?	6	6 | 7 | 5 | 8		
MATH_G1_U05	あわせていくつ（たしざん）	37	2 と 4 を あわせると？	6	6 | 7 | 5 | 4		
MATH_G1_U05	あわせていくつ（たしざん）	38	3 + 3 = ?	6	6 | 7 | 5 | 3		
MATH_G1_U05	あわせていくつ（たしざん）	39	5 + 2 = ?	7	7 | 8 | 6 | 5		
MATH_G1_U05	あわせていくつ（たしざん）	40	3 + 2 = ?	5	5 | 6 | 4 | 3		
MATH_G1_U05	あわせていくつ（たしざん）	41	3 + 1 = ?	4	4 | 5 | 3 | 6		
MATH_G1_U06	ふえるといくつ（たしざん）	0	あめが 3こ あります。2こ ふえると いくつ？	5こ	5こ | 3こ | 2こ | 6こ		
MATH_G1_U06	ふえるといくつ（たしざん）	1	りんごが 4こ あります。1こ ふえると いくつ？	5こ	5こ | 4こ | 6こ | 1こ		
MATH_G1_U06	ふえるといくつ（たしざん）	2	ぼーるが 2こ あります。3こ ふえると いくつ？	5こ	5こ | 4こ | 2こ | 6こ		
MATH_G1_U06	ふえるといくつ（たしざん）	3	はなが 5ほん あります。2ほん ふえると なんぼん？	7ほん	7ほん | 6ほん | 5ほん | 8ほん		
MATH_G1_U06	ふえるといくつ（たしざん）	4	ねこが 1ぴき います。3びき ふえると なんびき？	4ひき	4ひき | 3びき | 1ぴき | 5ひき		
MATH_G1_U06	ふえるといくつ（たしざん）	5	まるが 6こ あります。1こ ふえると いくつ？	7こ	7こ | 6こ | 8こ | 5こ		
MATH_G1_U06	ふえるといくつ（たしざん）	6	おはじきが 4こ あります。4こ ふえると いくつ？	8こ	8こ | 7こ | 4こ | 9こ		
MATH_G1_U06	ふえるといくつ（たしざん）	7	つみきが 7こ あります。2こ ふえると いくつ？	9こ	9こ | 8こ | 7こ | 10こ		
MATH_G1_U06	ふえるといくつ（たしざん）	8	こいしが 8こ あります。1こ ふえると いくつ？	9こ	9こ | 8こ | 10こ | 7こ		
MATH_G1_U06	ふえるといくつ（たしざん）	9	ほしが 5こ あります。5こ ふえると いくつ？	10こ	10こ | 9こ | 5こ | 8こ		
MATH_G1_U06	ふえるといくつ（たしざん）	10	えんぴつが 2ほん あります。1ぽん ふえると なんぼん？	3ぼん	3ぼん | 2ほん | 1ぽん | 4ほん		
MATH_G1_U06	ふえるといくつ（たしざん）	11	こっぷが 3こ あります。4こ ふえると いくつ？	7こ	7こ | 6こ | 3こ | 8こ		
MATH_G1_U06	ふえるといくつ（たしざん）	12	いすが 6こ あります。2こ ふえると いくつ？	8こ	8こ | 7こ | 6こ | 9こ		
MATH_G1_U06	ふえるといくつ（たしざん）	13	さかなが 1ぴき います。5ひき ふえると なんびき？	6ぴき	6ぴき | 5ひき | 1ぴき | 7ひき		
MATH_G1_U06	ふえるといくつ（たしざん）	14	みかんが 7こ あります。3こ ふえると いくつ？	10こ	10こ | 9こ | 7こ | 8こ		
MATH_G1_U06	ふえるといくつ（たしざん）	15	あかい まるが 2こ あります。6こ ふえると いくつ？	8こ	8こ | 7こ | 6こ | 9こ		
MATH_G1_U06	ふえるといくつ（たしざん）	16	けしごむが 4こ あります。3こ ふえると いくつ？	7こ	7こ | 6こ | 4こ | 8こ		
MATH_G1_U06	ふえるといくつ（たしざん）	17	はっぱが 5まい あります。3まい ふえると なんまい？	8まい	8まい | 7まい | 5まい | 9まい		
MATH_G1_U06	ふえるといくつ（たしざん）	18	びーだまが 6こ あります。4こ ふえると いくつ？	10こ	10こ | 9こ | 8こ | 6こ		
MATH_G1_U06	ふえるといくつ（たしざん）	19	ふえると いくつを きく とき、することは？	ふえた ぶんを たす	ふえた ぶんを たす | ふえた ぶんを けす | はじめの かずだけ みる | いろだけ みる		
MATH_G1_U06	ふえるといくつ（たしざん）	20	8こ ありました。 3こ ふえると なんこ？	11こ	11こ | 8こ | 3こ | 12こ		
MATH_G1_U06	ふえるといくつ（たしざん）	21	2こ に 1こ たすと？	3こ	3こ | 1こ | 2こ | 4こ		
MATH_G1_U06	ふえるといくつ（たしざん）	22	3こ ありました。 2こ ふえると なんこ？	5こ	5こ | 3こ | 2こ | 6こ		
MATH_G1_U06	ふえるといくつ（たしざん）	23	4こ に 3こ たすと？	7こ	7こ | 1こ | 3こ | 4こ		
MATH_G1_U06	ふえるといくつ（たしざん）	24	5こ ありました。 1こ ふえると なんこ？	6こ	6こ | 5こ | 1こ | 7こ		
MATH_G1_U06	ふえるといくつ（たしざん）	25	6こ に 2こ たすと？	8こ	8こ | 4こ | 2こ | 6こ		
MATH_G1_U06	ふえるといくつ（たしざん）	26	7こ ありました。 3こ ふえると なんこ？	10こ	10こ | 7こ | 3こ | 11こ		
